Hello!
8.8000001907349;1650046247.0728;sonar left;0.22
8.8000001907349;1650046247.0729;sonar right;0.23
8.8000001907349;1650046247.0731;sonar back;0.13
8.8000001907349;1650046247.0758;sonar left;0.2
8.8000001907349;1650046247.0759;sonar right;0.2
8.8000001907349;1650046247.0761;sonar back;0.11
8.8000001907349;1650046247.0784;sonar left;0.23
8.8000001907349;1650046247.0786;sonar right;0.23
8.8000001907349;1650046247.0787;sonar back;0.15
9;1650046247.2548;sonar left;0.23
9;1650046247.255;sonar right;0.27
9;1650046247.2551;sonar back;0.24
9;1650046247.2579;sonar left;0.27
9;1650046247.258;sonar right;0.22
9;1650046247.2581;sonar back;0.2
9;1650046247.2606;sonar left;0.21
9;1650046247.2608;sonar right;0.28
9;1650046247.2609;sonar back;0.14
9;1650046247.2636;sonar left;0.18
9;1650046247.2637;sonar right;0.23
9;1650046247.2639;sonar back;0.2
9.1999998092651;1650046247.4758;sonar left;0.26
9.1999998092651;1650046247.4759;sonar right;0.3
9.1999998092651;1650046247.4761;sonar back;0.19
9.3999996185303;1650046247.6681;robot pose;0.3274852335453;-0.79997038841248;-0.090914293494406
9.3999996185303;1650046247.6682;marks;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
9.3999996185303;1650046247.6691;sonar left;0.17
9.3999996185303;1650046247.6692;sonar right;0.23
9.3999996185303;1650046247.6694;sonar back;0.21
9.3999996185303;1650046247.6713;sonar left;0.24
9.3999996185303;1650046247.6714;sonar right;0.23
9.3999996185303;1650046247.6715;sonar back;0.22
9.3999996185303;1650046247.6741;sonar left;0.24
9.3999996185303;1650046247.6742;sonar right;0.24
9.3999996185303;1650046247.6743;sonar back;0.19
9.3999996185303;1650046247.8559;sonar left;0.24
9.3999996185303;1650046247.8561;sonar right;0.28
9.3999996185303;1650046247.8563;sonar back;0.29
9.6000003814697;1650046247.8579;sonar left;0.19
9.6000003814697;1650046247.858;sonar right;0.18
9.6000003814697;1650046247.8582;sonar back;0.28
9.6000003814697;1650046247.8589;battery;98.654320607969
9.6000003814697;1650046247.8609;sonar left;0.26
9.6000003814697;1650046247.8611;sonar right;0.28
9.6000003814697;1650046247.8612;sonar back;0.26
9.6000003814697;1650046247.8637;sonar left;0.25
9.6000003814697;1650046247.8638;sonar right;0.23
9.6000003814697;1650046247.8639;sonar back;0.26
9.8000001907349;1650046248.0689;sonar left;0.21
9.8000001907349;1650046248.0691;sonar right;0.25
9.8000001907349;1650046248.0692;sonar back;0.25
9.8000001907349;1650046248.0717;sonar left;0.21
9.8000001907349;1650046248.0719;sonar right;0.22
9.8000001907349;1650046248.072;sonar back;0.3
9.8000001907349;1650046248.0745;sonar left;0.23
9.8000001907349;1650046248.0747;sonar right;0.21
9.8000001907349;1650046248.0748;sonar back;0.32
9.8000001907349;1650046248.0773;sonar left;0.19
9.8000001907349;1650046248.0774;sonar right;0.24
9.8000001907349;1650046248.0776;sonar back;0.3
10;1650046248.2514;robot pose;0.41787746548653;-0.80010783672333;-0.096610457818785
10;1650046248.2514;marks;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
10;1650046248.2522;sonar left;0.2
10;1650046248.2523;sonar right;0.25
10;1650046248.2524;sonar back;0.34
10;1650046248.2546;sonar left;0.24
10;1650046248.2547;sonar right;0.22
10;1650046248.2548;sonar back;0.33
10;1650046248.2574;sonar left;5.52
10;1650046248.2575;sonar right;0.25
10;1650046248.2577;sonar back;0.37
10;1650046248.4599;sonar left;0.26
10;1650046248.4601;sonar right;0.22
10;1650046248.4602;sonar back;0.35
10.199999809265;1650046248.4617;sonar left;0.25
10.199999809265;1650046248.4619;sonar right;0.3
10.199999809265;1650046248.4621;sonar back;0.35
10.39999961853;1650046248.6742;sonar left;0.24
10.39999961853;1650046248.6744;sonar right;0.18
10.39999961853;1650046248.6746;sonar back;0.39
10.39999961853;1650046248.6771;sonar left;0.29
10.39999961853;1650046248.6772;sonar right;0.24
10.39999961853;1650046248.6774;sonar back;0.42
10.39999961853;1650046248.6798;sonar left;0.22
10.39999961853;1650046248.68;sonar right;0.19
10.39999961853;1650046248.6801;sonar back;0.41
10.39999961853;1650046248.6826;sonar left;0.24
10.39999961853;1650046248.6827;sonar right;0.27
10.39999961853;1650046248.6828;sonar back;0.42
10.60000038147;1650046248.8547;robot pose;0.50825893878937;-0.80025392770767;-0.10141860416957
10.60000038147;1650046248.8547;marks;2;1.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.99
10.60000038147;1650046248.8555;sonar left;0.24
10.60000038147;1650046248.8557;sonar right;0.27
10.60000038147;1650046248.8558;sonar back;0.37
10.60000038147;1650046248.858;sonar left;0.2
10.60000038147;1650046248.8581;sonar right;0.21
10.60000038147;1650046248.8583;sonar back;0.41
10.60000038147;1650046248.8608;sonar left;0.2
10.60000038147;1650046248.8609;sonar right;0.22
10.60000038147;1650046248.861;sonar back;0.46
10.800000190735;1650046249.0661;sonar left;0.16
10.800000190735;1650046249.0662;sonar right;0.22
10.800000190735;1650046249.0664;sonar back;0.45
10.800000190735;1650046249.0672;battery;98.578038767442
10.800000190735;1650046249.0689;sonar left;0.2
